Progress,Duration (in seconds),Finished,ResponseId,S1_4,S1_5,S1_6,S2_4,S2_5,S2_6,S3_4,S3_5,S3_6,S4_4,S4_5,S4_6,S5_4,S5_5,S5_6,S6_4,S6_5,S6_6,S7_4,S7_5,S7_6,S8_4,S8_5,S8_6,S9_4,S9_5,S9_6,S10_4,S10_5,S10_6,S11_4,S11_5,S11_6,S12_4,S12_5,S12_6,S13_4,S13_5,S13_6,S14_4,S14_5,S14_6,S15_4,S15_5,S15_6,S16_4,S16_5,S16_6,S17_4,S17_5,S17_6,S18_4,S18_5,S18_6,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,119,TRUE,R_PIILtS72obkwLwB,100,100,100,0,50,0,,,,,,,,,,,,,100,100,100,0,0,0,,,,20,50,0,,,,50,0,0,,,,,,,,,,,,,,,,,,,,36,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 5,going on strike for better wages,trying to convince a passing driver to trade cars,,,,,trying to buy a ticket off another person,waving to the parents,,taking her to his house but no further,,pretending the knife is part of a hip replacement,,,,,,
100,137,TRUE,R_211EkYWxY89FUHp,,,,,,,,,,,,,,,,,,,,,,76,76,77,,,,30,0,0,,,,54,55,54,85,100,82,,,,52,87,55,,,,,,,8,0,0,,25,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 3,,,,,,,,keeping an eye on him,,stealing whatever she has on her,,storing the knife in an airport locker,telling his sister as soon as possible,,requesting supplies to be airdropped,,,hiding him in the snow
100,118,TRUE,R_12aImKgALpVHIfG,75,88,21,,,,0,83,0,,,,,,,0,0,0,,,,,,,76,100,90,,,,,,,,,,,,,,,,,,,53,95,41,0,0,0,,,,,35,Male,White / Caucasian,,Some College,Rung 2,searching for the medication on the black market,,paying the money from his own wallet,,,boosting morale with a three-legged race,,,pulling over and calling 911,,,,,,,giving Todd her water,staging a break-in at the store,
100,244,TRUE,R_1cYxDVLYpToLHau,,,,,,,89,89,89,0,0,0,,,,,,,,,,,,,100,100,100,,,,78,79,80,,,,,,,,,,,,,0,0,0,27,12,6,,,,,30,Male,White / Caucasian,,Some College,Rung 5,,,explaining the situation to his boss,pulling the fire alarm,,,,,honking at the driver until they pull over,,checking that the doors are locked,,,,,getting her arm stuck in solidarity,locking up the store,
100,243,TRUE,R_2ru5zP02vutXHAB,67,74,71,90,100,100,,,,,,,79,88,86,83,89,88,,,,15,52,34,,,,,,,,,,,,,,,,40,73,63,,,,,,,,,,,,,,41,Male,White / Caucasian,,College Graduate (4 year),Rung 5,going on strike for better wages,taking a public bus,,,calling her mom,huddling to conserve energy,,making cat noises at him until he leaves,,,,,,buying his father a tent,,,,
100,199,TRUE,R_2uFn7zOnDOicLFn,,,,100,100,100,,,,,,,,,,,,,0,0,0,,,,,,,,,,32,100,32,,,,84,100,100,0,100,32,0,0,0,,,,,,,,,,,56,Male,White / Caucasian,,Master's Degree (MS),Rung 5,,rescheduling for a later flight,,,,,pretending they are conjoined twins,,,,asking to use the mall's loudspeaker,,calling the taxi company,moving into his father’s apartment,serving engine fuel to the passengers,,,
100,358,TRUE,R_27PfxjJOEuLm6Zf,,,,,,,3,0,0,100,100,100,,,,,,,,,,,,,81,81,81,,,,40,90,90,,,,,,,,,,,,,67,68,78,54,90,91,,,,,62,Female,White / Caucasian,,College Graduate (4 year),Rung 5,,,staging a robbery,borrowing someone's phone,,,,,tailgating the car,,calling emergency services,,,,,leaving Todd to save herself,calling his lawyer,
100,257,TRUE,R_2qxv2ALVmJT727z,,,,,,,27,100,29,89,100,98,,,,2,0,1,0,1,2,65,100,91,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,60,Male,White / Caucasian,,College Graduate (4 year),Rung 6,,,getting an advance payday loan,renewing her membership,,stealing all of the food and water,stealing someone else's ticket,asking the parents if they know him,,,,,,,selling all the food to the highest bidder,,,
100,391,TRUE,R_Ral2LbHF2LL14e5,,,,,,,,,,20,0,0,10,0,0,,,,0,20,0,,,,,,,50,80,60,,,,10,0,0,,,,,,,,,,,,,,,,0,100,0,,34,Male,White / Caucasian,,College Graduate (4 year),Rung 3,,,,crawling past the front desk,hypnotizing the teacher,,teleporting into the concert,,,refusing to drive her,,threatening security with the knife,,,,,,leaving her dogs with him
100,263,TRUE,R_ByrfUnDd7pEMWLn,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,50,0,10,100,0,50,50,85,,,,50,0,1,,,,90,100,100,,,,,,,,63,Female,White / Caucasian,,College Graduate (4 year),Rung 4,,demanding that the airline delays the flight,,,,,,,,turning invisible,pouring water on the car to cool it,asking to check the knife,,abandoning his father,,hiking until she finds cell service,,
